member,num_magnet_schools,num_charter_schools,TOTFRL,FRELCH,pct_participating,popu_tot,meanic_hh,hh_ratio_married,hh_ratio_female,highschool,bachelorplus,employ,gini,y,t_cluster,t_median,z_cluster,z_median,countyid,funding,hh_ratio_black,score
401.5,-0.148113116,-0.182243202,206.5,167.5,1.0,-0.24300070000000001,-0.835410566,-0.8485590279999999,0.37330971700000004,0.308397924,0.744857784,-0.049000644,0.17068608300000002,-0.446428571,0,1,1,1,5019,-0.608057725,1.161661495,-0.446428571
390.0,-0.148113116,-0.182243202,228.0,172.66666669999998,1.0,-0.265482653,-1.365108424,-0.901706115,0.142594393,-1.161976486,-1.13621269,-0.30230607800000003,0.052515688,-0.47619047600000003,0,1,0,0,5021,-0.608057725,-0.588438198,-0.47619047600000003
311.5,-0.148113116,-0.182243202,169.5,136.25,1.0,-0.234180265,-0.397756935,0.30432659,-0.209520713,-0.26625779,-0.571012531,-0.31777893100000004,0.671503471,-0.334821429,0,1,0,0,5023,-0.608057725,-0.578076272,-0.334821429
363.0,-0.148113116,-0.182243202,170.0,149.5,1.0,-0.286588914,-0.476941482,0.526050504,0.46212145,0.178918543,-0.447437145,-0.06244691,-0.422979472,-0.553571429,0,1,0,1,5025,-0.608057725,0.20560915800000001,-0.553571429
320.3333333,-0.148113116,-0.182243202,184.0,156.33333330000002,1.0,-0.23839351600000003,-0.859058377,-0.903323773,1.369955545,-0.18033104100000003,0.15428919300000002,-0.428007034,0.775605962,-0.321428571,0,1,1,1,5027,-0.608057725,1.837220825,-0.321428571
330.0,-0.148113116,-0.182243202,212.66666669999998,182.0,1.0,-0.2477433,-0.6429298999999999,-0.5039415979999999,0.820223932,-0.137275268,-0.559895703,-0.32066744199999997,0.5055022020000001,-0.47619047600000003,0,1,0,1,5029,-0.608057725,0.29306353399999996,-0.47619047600000003
569.875,-0.148113116,0.185566255,298.625,242.5,1.0,0.008597131,0.0032284590000000004,-0.752529364,0.602816849,0.262044593,0.554149074,0.249011768,1.0541504640000001,-0.34375,0,1,0,1,5031,-0.608057725,0.306460563,-0.34375
697.2,-0.148113116,-0.182243202,420.2,357.0,1.0,-0.121053416,-0.540248367,1.002107008,0.072612756,-0.061201347999999996,-0.71926621,-0.251657786,-0.321690562,-0.557142857,0,1,0,0,5033,-0.608057725,-0.505310167,-0.557142857
614.5,-0.148113116,-0.182243202,344.0,304.0,1.0,-0.16057302699999998,-0.7175146459999999,-1.765739283,2.4333658259999997,-0.773652893,-0.489286327,-0.35428327,0.14536385599999999,-0.625,0,1,1,1,5035,-0.608057725,2.737227654,-0.625
555.5,-0.148113116,0.185566255,325.0,278.0,1.0,-0.259407448,-0.47672068799999995,-0.151708536,1.1065023109999998,-0.8942923620000001,-0.81602708,-0.28899997,0.775605962,-0.571428571,0,1,0,1,5037,-0.608057725,0.842785178,-0.571428571
208.5,-0.148113116,-0.182243202,130.0,111.5,1.0,-0.28888789,-1.4106495000000001,-0.9767341429999999,0.8142055909999999,-0.44645211100000004,-0.74980182,-0.6036459829999999,-1.56529329,-0.625,0,1,1,1,5039,-0.608057725,2.525437297,-0.625
408.0,-0.148113116,-0.182243202,284.5,252.0,1.0,-0.275010939,-1.444787796,-1.702051825,1.903427536,-1.3343001829999999,-0.9254205529999999,-0.939517113,1.186388763,-0.705357143,0,1,1,1,5041,-0.608057725,2.811456072,-0.705357143
476.5,-0.148113116,-0.182243202,311.0,287.0,1.0,-0.254926445,-0.836388038,-0.651844555,0.553507906,-0.347103841,-0.224892791,-0.48704376200000005,1.228592475,-0.446428571,0,1,1,1,5043,-0.608057725,1.313177136,-0.446428571
711.3333332999999,-0.148113116,-0.182243202,271.1666667,219.0,1.0,0.061027323,0.118700276,-0.20474250300000002,0.111561841,0.792331109,0.995391285,0.352251806,0.288856478,-0.3125,0,1,0,1,5045,-0.608057725,0.177040583,-0.3125
399.5,-0.148113116,-0.182243202,186.5,155.0,1.0,-0.257440854,-0.991441989,0.27420040100000004,-0.167076945,-0.79210448,-1.0660891829999999,-0.746122284,-0.493318993,-0.27678571399999996,0,1,0,0,5047,-0.608057725,-0.542556322,-0.27678571399999996
252.33333330000002,-0.148113116,-0.182243202,156.66666669999998,125.0,1.0,-0.27501709399999996,-1.117500517,0.80696675,0.350356127,-0.26443921800000003,-0.9694454240000001,-1.324016691,-0.462369604,-0.422619048,0,1,0,0,5049,-0.608057725,-0.5856549560000001,-0.422619048
619.4,-0.148113116,-0.182243202,305.4,256.0,1.0,-0.010644097,-0.287412198,-0.64556269,0.44318601799999996,0.291292134,-0.130612691,-0.279374135,1.231406056,-0.360714286,0,1,0,1,5051,-0.608057725,-0.028999672999999997,-0.360714286
